Program,Operating systems,License," Protocols, based on, compatible with",Encryption,Other abilities,Key and target markets,Latest release
3CX Phone System," Windows, Linux",proprietary,SIP," TLS, SRTP"," Voice and video IP telephony and conferencing, voice mail and instant messaging"," < 50,000 users",16.2 ; 20190705
AS5300,Windows Server 2003,proprietary," SIP, UNIStim, MLPP"," SSL, TLS, SRTP, SDESC"," Voice and Video IP telephony, Voice and Video conferencing, voice mail and instant messaging"," 1,000 - 25,000 users",1.0; 200801
AskoziaPBX,no additional OS required (Linux based)," GPL, Open core"," SIP, IAX, SCCP",no," ISDN, analog, Conferencing, MOH, ACD, IVR, Call recording",SMEs up to 50 users,2.2.2; 201212
Asterisk PBX," BSD, Solaris"," GPL, optional: Proprietary"," SIP, IAX, MGCP, VOFR, XMPP, Google Talk, TDM"," TLS, SRTP"," VoIP Gateway, voicemail, basic accounting (can be expanded by interface with ODBC-compliant database), billing, conferencing, hot-desking, IVR trees with conditional logic, call queuing, automated call distribution"," Enthusiasts, developers, enterprise users (capacity dependent on server design, scalable across multiple servers)",Latest stable software release/Asterisk
Brekeke SIP Server,Windows,proprietary,SIP," TLS, SRTP"," SIP Registrar, SIP Proxy"," SIP Service Providers, VoIP service providers, Healthcare, Security",3.9.1.3; 20181221
Brekeke PBX,Windows,proprietary,SIP," TLS, SRTP"," Voice and Video IP telephony, Voice and Video conferencing, and voice mail"," Hosted service providers, Mid-large enterprise",3.9.1.4; 20181227
CallMax Softswitch,Linux,proprietary," SIP, H.323"," SSL, TLS, HTTPS"," Integrated billing, Callshop module, Customer Web Portal, Retail SMS Platform."," SIP Service Providers, Residential  ; Business VoIP providers, Corporate Clients, Other Class 5 softswitch users",3.6; 201510
CommuniGate Pro," BSD, Windows, Solaris, AIX",proprietary," SIP, XIMSS Protocol, XMPP, WebRTC"," SSL, TLS, SRTP"," SIP Registrar/Proxy, Authentication, Diameter, ENUM, many others","  Carriers, enterprises, MNOs, ISPs, SaaS providers",6.1.11; 201606
Dial-Gate Softswitch PBX,Windows,proprietary,SIP," TLS, SRTP"," Billing server, real-time account and line monitoring, web-based user interface"," Softswitch users, service providers",4.3; 201406
Dial-Office IP-PBX,Windows,proprietary,SIP," TLS, SRTP"," Unified Communications, Conferencing, remote worker support and voice mail"," Small businesses, Mid-large enterprises",4.1; 201312
Elastix,Linux,GPL," SIP, IAX, H323, XMPP"," TLS, SRTP"," Unified communication server that also supports chat, mail and fax."," Capacity dependent on server design, scalable across multiple servers"," 2.5.0 (stable), 3.0.0 (stable), 4.0.0 (stable); 20160210"
FreeSWITCH," BSD, Solaris, Windows",Mozilla Public License," SIP, SIMPLE, XMPP, Jingle), IAX, MRCP, RSS, Skype"," TLS, SRTP, ZRTP"," Recording, Voicemail, Conferencing, ENUM, IM Proxy, Streaming, Media gateway, Soft-PBX, IVR (modular)"," Large soft-switch users, home PBX users, softphone users",Latest stable software release/FreeSWITCH
FreePBX," BSD, Solaris",GPL," SIP, IAX, H323, XMPP"," TLS, SRTP"," Complete PABX Service, based on Asterisk and PHP 5.6; provides a full replacement for a legacy non-VoIP phone system; under current and active development",Scales from Raspberry PI (3 users) to multiple parallel clusters (10K+ simultaneous calls),14.0; 20178
