Name,Operating system(s),Source code language(s),Programming (plugin) API language(s),Other technical features
Bidule,Windows,C++,C++,ASIO/ CoreAudio (Mac)/ NDA accepted.
ChucK,Windows,C++,," Unified timing mechanism (no separation between audio-rate and control-rate), command-line access"
Csound,Windows," C, C++"," C; also Python, Java, Lisp, Lua, Tcl, C++"," IDE (QuteCsound), multitrack interface (blue); several analysis/resynthesis facilities; can compute double-precision audio; Python and LuaJIT algorithmic composition library; multi-threaded processing"
Impromptu,Mac OS X," Lisp,  Scheme"," C, Scheme"," Native access to most OS X APIs including Core Image, Quartz, QuickTime and OpenGL.  Impromptu also includes its own statically typed (inferencing) systems language for heavy numeric processing - OpenGL, RT AudioDSP etc.."
Kyma,Windows," C, Objective-C",Smalltalk,"The Kyma hardware processes user algorithms at sample-rate, as opposed to a vector of samples Kyma has a Frame."
Max/MSP,Windows," C, Objective-C"," C, Java, Python and Ruby via externals",
Pure Data," Windows, Android",C," C, FAUST, Haskell, Java, Lua, Python, Q, Ruby, Scheme, others",
Reaktor,Windows,,,
SuperCollider," Windows, FreeBSD"," C, C++, Objective-C",C++," Client-server architecture; client and server can be used independently, command-line access"
Sporth," Linux, Mac OS X",C," C, Scheme"," Many frontends built using the API exist, including Chuck, PD, and LADSPA"
[https://vcvrack.com/ VCV Rack],Windows,C++,C++,
